instrument,datetime,buy/sell,status,size,order ref
NZD_USD, 2017-01-19 22:00:00, Buy, Submitted, 88759.2067072801, 1
NZD_USD, 2017-01-19 22:00:00, Sell, Submitted, -88759.2067072801, 2
NZD_USD, 2017-01-19 22:00:00, Sell, Submitted, -88759.2067072801, 3
NZD_USD, 2017-01-19 22:00:00, Buy, Accepted, 88759.2067072801, 1
NZD_USD, 2017-01-19 22:00:00, Sell, Accepted, -88759.2067072801, 2
NZD_USD, 2017-01-19 22:00:00, Sell, Accepted, -88759.2067072801, 3
NZD_USD, 2017-01-19 22:00:00, Buy, Completed, 88759.2067072801, 1
NZD_USD, 2017-01-25 18:00:00, Sell, Completed, -88759.2067072801, 3
NZD_USD, 2017-01-25 18:00:00, Sell, Canceled, -88759.2067072801, 2
NZD_USD, 2017-01-27 10:00:00, Buy, Submitted, 177608.1668100941, 4
NZD_USD, 2017-01-27 10:00:00, Sell, Submitted, -177608.1668100941, 5
NZD_USD, 2017-01-27 10:00:00, Sell, Submitted, -177608.1668100941, 6
NZD_USD, 2017-01-27 10:00:00, Buy, Accepted, 177608.1668100941, 4
NZD_USD, 2017-01-27 10:00:00, Sell, Accepted, -177608.1668100941, 5
NZD_USD, 2017-01-27 10:00:00, Sell, Accepted, -177608.1668100941, 6
NZD_USD, 2017-01-27 10:00:00, Buy, Completed, 177608.1668100941, 4
NZD_USD, 2017-01-31 10:00:00, Sell, Completed, -177608.1668100941, 6
NZD_USD, 2017-01-31 10:00:00, Sell, Canceled, -177608.1668100941, 5
NZD_USD, 2017-02-01 06:00:00, Buy, Submitted, 154290.34816016967, 7
NZD_USD, 2017-02-01 06:00:00, Sell, Submitted, -154290.34816016967, 8
NZD_USD, 2017-02-01 06:00:00, Sell, Submitted, -154290.34816016967, 9
NZD_USD, 2017-02-01 06:00:00, Buy, Accepted, 154290.34816016967, 7
NZD_USD, 2017-02-01 06:00:00, Sell, Accepted, -154290.34816016967, 8
NZD_USD, 2017-02-01 06:00:00, Sell, Accepted, -154290.34816016967, 9
NZD_USD, 2017-02-01 06:00:00, Buy, Completed, 154290.34816016967, 7
NZD_USD, 2017-02-07 02:00:00, Sell, Completed, -154290.34816016967, 9
NZD_USD, 2017-02-07 02:00:00, Sell, Canceled, -154290.34816016967, 8
NZD_USD, 2017-02-07 06:00:00, Buy, Submitted, 168247.46707784128, 10
NZD_USD, 2017-02-07 06:00:00, Sell, Submitted, -168247.46707784128, 11
NZD_USD, 2017-02-07 06:00:00, Sell, Submitted, -168247.46707784128, 12
NZD_USD, 2017-02-07 06:00:00, Buy, Accepted, 168247.46707784128, 10
NZD_USD, 2017-02-07 06:00:00, Sell, Accepted, -168247.46707784128, 11
NZD_USD, 2017-02-07 06:00:00, Sell, Accepted, -168247.46707784128, 12
NZD_USD, 2017-02-07 06:00:00, Buy, Completed, 168247.46707784128, 10
NZD_USD, 2017-02-07 10:00:00, Sell, Completed, -168247.46707784128, 11
NZD_USD, 2017-02-07 10:00:00, Sell, Canceled, -168247.46707784128, 12
NZD_USD, 2017-02-09 18:00:00, Sell, Submitted, -74934.4618479449, 13
NZD_USD, 2017-02-09 18:00:00, Buy, Submitted, 74934.4618479449, 14
NZD_USD, 2017-02-09 18:00:00, Buy, Submitted, 74934.4618479449, 15
NZD_USD, 2017-02-09 18:00:00, Sell, Accepted, -74934.4618479449, 13
NZD_USD, 2017-02-09 18:00:00, Buy, Accepted, 74934.4618479449, 14
NZD_USD, 2017-02-09 18:00:00, Buy, Accepted, 74934.4618479449, 15
NZD_USD, 2017-02-09 18:00:00, Sell, Completed, -74934.4618479449, 13
NZD_USD, 2017-03-02 22:00:00, Buy, Completed, 74934.4618479449, 15
NZD_USD, 2017-03-02 22:00:00, Buy, Canceled, 74934.4618479449, 14
